list all the flight that arriv at ap0 from various citi	( lambda $0 e ( and ( flight $0 ) ( to $0 ap0 ) ( exists $1 ( and ( city $1 ) ( from $0 $1 ) ) ) ) )
give me the flight leav ci0 mn0 dn0 come back to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day_number $0 dn0 ) ( month $0 mn0 ) ) )
what flight from ci0 to ci1 on da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
what is the most expens one way fare from ci0 to ci1 on al0	( max $0 ( exists $1 ( and ( oneway $1 ) ( airline $1 al0 ) ( from $1 ci0 ) ( to $1 ci1 ) ( = ( fare $1 ) $0 ) ) ) )
what flight return from ci0 to ci1 on a da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
can you list all flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
show me the flight from ci0 that go to ci1 and then ci2	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci2 ) ( stop $0 ci1 ) ) )
i'd like to see flight from ci0 to ci1 that arriv befor ti0 and i'd like to see flight from ci2 to ci1 that arriv befor ti0	( lambda $0 e ( or ( and ( flight $0 ) ( < ( arrival_time $0 ) ti0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( and ( flight $0 ) ( < ( arrival_time $0 ) ti0 ) ( from $0 ci2 ) ( to $0 ci1 ) ) ) )
can you list all round trip flight from ci1 to ci0 and then to ci2	( lambda $0 e ( and ( flight $0 ) ( round_trip $0 ) ( from $0 ci1 ) ( to $0 ci2 ) ( stop $0 ci0 ) ) )
show me the al0 from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
i would like a al0 flight from ci1 to ci0 with a stopov in ci2 pleas	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( stop $0 ci2 ) ) )
are there ani nonstop flight leav from ci0 arriv in ci1 on mn0 dn0	( lambda $0 e ( and ( month_arrival $0 mn0 ) ( to $0 ci1 ) ( from $0 ci0 ) ( flight $0 ) ( day_number_arrival $0 dn0 ) ( nonstop $0 ) ) )
how can i get from ci0 to ci1 and back in the same day and have the most hour on the ground in ci1	( lambda $0 e ( exists $1 ( and ( = $0 ( argmin $2 ( and ( flight $2 ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( arrival_time $2 ) ) ) ( = $1 ( argmax $2 ( and ( flight $2 ) ( to $0 ci0 ) ( from $0 ci1 ) ) ( departure_time $2 ) ) ) ) ) )
are there ani flight between ci0 and ci1 use a ac0 aircraft	( lambda $0 e ( and ( flight $0 ) ( aircraft_code $0 ac0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
what doe rc0 stand for for meal	rc0
ci0 to ci1 da0	( lambda $0 e ( and ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
what are the flight from ci0 to ci1 return on da0 mn0 dn0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day_return $0 da0 ) ( day_number_return $0 dn0 ) ( month_return $0 mn0 ) ) )
i need the cost of a ticket go from ci0 to ci1 a first class ticket on al0	( lambda $0 e ( exists $1 ( and ( airline $1 al0 ) ( class_type $1 first:cl ) ( from $1 ci0 ) ( to $1 ci1 ) ( = ( fare $1 ) $0 ) ) ) )
is there a flight between ci1 and ci2 with a stopov at ci0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci2 ) ( stop $0 ci0 ) ) )
list the takeoff and land at ap0	( lambda $0 e ( and ( flight $0 ) ( or ( from $0 ap0 ) ( to $0 ap0 ) ) ) )
what flight are there from ci0 to ci1 on al0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
is there limo servic at ap0	( lambda $0 e ( and ( limousine $0 ) ( from_airport $0 ap0 ) ) )
i need a flight from ci1 to ci0 da0 even	( lambda $0 e ( and ( flight $0 ) ( during_day $0 evening:pd ) ( from $0 ci1 ) ( to $0 ci0 ) ( day $0 da0 ) ) )
how much is a first class ticket from ci1 to ci0	( lambda $0 e ( exists $1 ( and ( class_type $1 first:cl ) ( from $1 ci1 ) ( to $1 ci0 ) ( = ( fare $1 ) $0 ) ) ) )
in ci0 i would like inform on ground transport	( lambda $0 e ( and ( ground_transport $0 ) ( to_city $0 ci0 ) ) )
what flight go from ci1 to ci0 via ci2	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( stop $0 ci2 ) ) )
i'd like flight on al0 from ci0 to ci1 arriv befor ti0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( < ( arrival_time $0 ) ti0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
